filename,path,sharpness_score
9.jpg,Original_Dataset/Orignal-Dataset\Yellow_Soil\9.jpg,392.1919719310429
116.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\116.jpg,396.9460916488889
97.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\97.jpg,397.0627302441868
72.jpg,Original_Dataset/Orignal-Dataset\Red_Soil\72.jpg,403.58216837015794
216.jpg,Original_Dataset/Orignal-Dataset\Laterite_Soil\216.jpg,403.86719990527706
218.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\218.jpg,405.265933829428
231.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\231.jpg,409.7269125899765
81b.jpg,Original_Dataset/Orignal-Dataset\Yellow_Soil\81b.jpg,411.6639051208804
32.jpg,Original_Dataset/Orignal-Dataset\Mountain_Soil\32.jpg,421.0411909211482
112.jpg,Original_Dataset/Orignal-Dataset\Mountain_Soil\112.jpg,422.50818962783205
180.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\180.jpg,431.07187671777353
44.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\44.jpg,433.7400956597223
100.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\100.jpg,436.2825730895783
183b.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\183b.jpg,436.5820612601754
188c.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\188c.jpg,438.2809553206219
141.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\141.jpg,448.9713534886562
159.jpg,Original_Dataset/Orignal-Dataset\Mountain_Soil\159.jpg,450.1292481915672
13a.jpg,Original_Dataset/Orignal-Dataset\Red_Soil\13a.jpg,450.8825993174738
103.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\103.jpg,452.9821110244887
16.jpg,Original_Dataset/Orignal-Dataset\Red_Soil\16.jpg,456.9073435735067
65.jpg,Original_Dataset/Orignal-Dataset\Mountain_Soil\65.jpg,458.5089978666118
148.jpg,Original_Dataset/Orignal-Dataset\Laterite_Soil\148.jpg,458.93086565848563
13.jpg,Original_Dataset/Orignal-Dataset\Red_Soil\13.jpg,464.0521858198973
71c.jpg,Original_Dataset/Orignal-Dataset\Mountain_Soil\71c.jpg,465.2301269076338
30.jpg,Original_Dataset/Orignal-Dataset\Yellow_Soil\30.jpg,470.09675840806085
64a.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\64a.jpg,474.3156935792138
20.jpg,Original_Dataset/Orignal-Dataset\Mountain_Soil\20.jpg,476.0683388580665
58.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\58.jpg,482.71736445223814
206.jpg,Original_Dataset/Orignal-Dataset\Laterite_Soil\206.jpg,484.7722645924104
183.jpg,Original_Dataset/Orignal-Dataset\Black_Soil\183.jpg,488.42637957297757
150.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\150.jpg,488.7933665669492
31.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\31.jpg,498.4715412733291
213.jpg,Original_Dataset/Orignal-Dataset\Mountain_Soil\213.jpg,500.3088384563083
109.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\109.jpg,503.35052823547977
189.jpg,Original_Dataset/Orignal-Dataset\Arid_Soil\189.jpg,508.5244743111669
